Only access and fill out this sheet when instructed to in your learner guide. Use the template below or use any free project management tool available online.,,,,,,,,,
,,,,,,,,,
INSTRUCTIONS,,,,,,,,,
"Use the guide below to help you fill out this template.

TASK # - Use  whole numbers to specify main tasks (e.g., 1,2,3). If the task is considered a sub-task, advance the numbering using decimal points to still identify what the main task is (e.g., 1.1, 1.2, 1.3).

TASK - Describe the task. Start tasks with verbs/action words to add specificity, e.g., List requirements instead of simply Requirements.

DEPENDENCY - Identify the task which cannot be started unless a previous task has been completed. Leave this blank if there is no dependency.

OWNER - Identify the person responsible for completing the task.

START DATE & END DATE - Identify the planned start and end dates per task. The main task's start and end-date should be the start date of the first sub-task and the end date of the last sub-task. The last end date in your project plan should be within the submission dates indicated in your syllabus.

STATUS - By default, all tasks start with a Not Started status. Change the status to In Progress if it's already being worked on and Completed once the task is done.

ACTUAL START & END DATE - Specify the actual start and end dates per task. This allows you to identify whether you were able to adhere to your initial timelines and if you will be able to complete the rest of your tasks on time. If you see that you don't have sufficient time, you need to work with your team to decide on alternatives or adjustments.

NOTES - Indicate any notes or reminders you may have for each task. ",,,,,,,,,
,,,,,,,,,
TASK #,TASK,DEPENDENCY,OWNER,START DATE,END DATE,STATUS,ACTUAL START DATE,ACTUAL END DATE,NOTES
1,Visualization of requirements,,"Ranay, D.",,,Not Started,,,
1.1,"Understand the scope of the requirement, visualization using tools like pencil or lucidchart",,Team,04-02-2025,,Not Started,,,
1.2,Stakeholder interview and discussions,1.1,Team,,10-02-2025,Not Started,,,Requirements Identification Submission
1,Develop Employee details presentation,,"Arellano, L.",,,Completed,,,week 1
1.1,Collaborate with HR to gather employee information,,Team,11-02-2025,,Completed,,,
1.2,Gather employee information,1.1,Team,,17-02-2025,Completed,,,
2,Develop Calculations of hours worked,,"Castillo, D.",,,Completed,,,week 2
2.1,Collaborate with HR regarding attendance tracking,,Team,18-02-2025,,Completed,,,
2.2,Collect employee attendance record.,2.1,Team,,,Completed,,,
2.3,Code the calculations,2.2,Team,,24-02-2025,Completed,,,
3,Develop Calculations of Gross wage,,"Castillo, K.",,,Completed,,,week 3
3.1,Collaborate with HR and Finance department regarding gross wage calculations,,Team,25-02-2025,,Completed,,,
3.2,"Collect employee salary information, including OT pay, subsidies and allowances",3.1,,,,Completed,,,
3.3,Code the calculations,3.2,Team,,03-03-2025,Completed,,,
4,Calculation of Deductions,,"Ranay, D.",,,Completed,,,week 4
4.1,Collaborate with HR and Finance department regarding government-mandated deductions/contributions,,Team,04-03-2024,,Completed,,,
4.2,"Collect employee gross wage and salary deduction information such as SSS, Philhealth, Pag-ibig, and withholding tax.",4.1,,,,Completed,,,
4.3,Code the calculations,4.2,Team,,10-03-2024,Completed,,,
5,Calculation of Net Salary,,"Arellano, L.",,,Completed,,,week 5
5.1,Determine employee gross wage and total deductions,,Team,11-03-2025,,Completed,,,
5.2,Code calculations of Net Salary,5.1,Team,,17-03-2024,Completed,,,
6,Develop Console output,,Team,18-03-2025,,Completed,,,week 6
6.1,Display  Salary Breakdown Information,,,,24-03-2025,Completed,,,Final Code Submission
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
,,,,,,Not Started,,,
